"AH_CS8","MA_SEXE","MA_ACT_rec","MC_DIPLOME","EA_HAB","EA_LIT","EA_MAL","EA_JOUE","EA_AID","EA_EMM","CA_DIPLOME","OA_REPAS","OA_VAISS","OA_ALIME","OA_LINGE","OA_ASPIR","OA_BRICO","OA_COMPT","OA_INVIT","OB_DACHQUO","OB_DACHEX","OB_DEDUC","OB_DLOISIR","OB_GESTION"
"Retraités","Masculin","Non","CEP (ou équivalent étranger)",NA,NA,NA,NA,NA,NA,"CEP (ou équivalent étranger)","Toujours mon conjoint","Toujours mon conjoint",3,"Toujours mon conjoint","Toujours mon conjoint","Le plus souvent moi","Toujours moi","Le plus souvent mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint",NA,"Toujours mon conjoint","Autant moi que mon conjoint"
"Retraités","Masculin","Non","Aucun diplôme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Retraités","Feminin","Non","CAP, BEP ou diplôme de ce niveau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cadres et professions intellectuelles supérieures","Feminin","Non","Diplôme de niveau supérieur à Bac+2",NA,NA,NA,NA,NA,NA,"Diplôme de niveau supérieur à Bac+2","Toujours moi","Autant moi que mon conjoint",3,"Toujours ou le plus souvent quelqu’un ne faisant pas partie du ménage","Toujours ou le plus souvent quelqu’un ne faisant pas partie du ménage","N’est pas concerné","Le plus souvent moi","Toujours moi","Autant moi que mon conjoint","Autant moi que mon conjoint",NA,"Le plus souvent moi","Autant moi que mon conjoint"
"Agriculteurs","Feminin","Non","CAP, BEP ou diplôme de ce niveau","Autant moi que mon conjoint","Toujours moi","Toujours moi","Toujours moi","Le plus souvent moi","N’est pas concerné","CEP (ou équivalent étranger)","Le plus souvent moi","Toujours moi",3,"N’est pas concerné","Le plus souvent moi","N’est pas concerné","Toujours moi","Autant moi que mon conjoint","Toujours moi","Toujours mon conjoint","Autant moi que mon conjoint","Le plus souvent moi","Autant moi que mon conjoint"
"Employés","Masculin","Non","Brevet des collèges/BEPC (ou équivalent étranger)","Le plus souvent mon conjoint","Le plus souvent mon conjoint","Autant moi que mon conjoint","Le plus souvent mon conjoint","Le plus souvent mon conjoint","Le plus souvent mon conjoint","CAP, BEP ou diplôme de ce niveau","Autant moi que mon conjoint","Autant moi que mon conjoint",3,"Le plus souvent mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Le plus souvent mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint"
"Autres personnes sans activité professionnelle","Feminin","Non","CAP, BEP ou diplôme de ce niveau","Toujours moi","Toujours moi","Autant moi que mon conjoint","Autant moi que mon conjoint","N’est pas concerné","Toujours moi","CAP, BEP ou diplôme de ce niveau","Toujours moi","Le plus souvent moi",4,"Toujours moi","Toujours moi","Toujours mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint"
"Retraités","Masculin","Non","CAP, BEP ou diplôme de ce niveau",NA,NA,NA,NA,NA,NA,"Diplôme de niveau Bac+2","Toujours mon conjoint","Toujours mon conjoint",3,"Toujours mon conjoint","Le plus souvent mon conjoint","Toujours moi","Toujours moi","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint",NA,"Autant moi que mon conjoint","Autant moi que mon conjoint"
"Ouvriers","Masculin","Non","CEP (ou équivalent étranger)",NA,NA,NA,NA,NA,NA,"Aucun diplôme","Toujours mon conjoint","Toujours mon conjoint",3,"Toujours mon conjoint","Toujours mon conjoint","Toujours moi","Toujours moi","Autant moi que mon conjoint","Le plus souvent mon conjoint","Autant moi que mon conjoint","N’est pas concerné","Autant moi que mon conjoint","Autant moi que mon conjoint"
"Professions intermédiaires","Feminin","Non","Diplôme de niveau supérieur à Bac+2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Employés","Feminin","Non","Brevet des collèges/BEPC (ou équivalent étranger)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Retraités","Feminin","Non","CEP (ou équivalent étranger)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cadres et professions intellectuelles supérieures","Feminin","Non","Diplôme de niveau supérieur à Bac+2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Employés","Feminin","Non","Baccalauréat technologique/professionnel (ou équivalent)","Toujours moi","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Toujours moi","Toujours moi","CAP, BEP ou diplôme de ce niveau","Toujours moi","Le plus souvent moi",1,"Toujours moi","Toujours moi","Toujours mon conjoint","Le plus souvent moi","Autant moi que mon conjoint","Le plus souvent moi","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint"
"Autres personnes sans activité professionnelle","Feminin","Non","Aucun diplôme",NA,NA,NA,NA,NA,NA,"Aucun diplôme","Le plus souvent moi","Toujours moi",3,"Toujours moi","Toujours moi","Autant moi que mon conjoint","Toujours moi","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Le plus souvent moi","Autant moi que mon conjoint","Toujours ou le plus souvent d’autres membres du ménage"
"Professions intermédiaires","Masculin","Non","Diplôme de niveau supérieur à Bac+2",NA,NA,NA,NA,NA,NA,"Diplôme de niveau supérieur à Bac+2","Le plus souvent moi","Le plus souvent mon conjoint",4,"Toujours mon conjoint","Le plus souvent mon conjoint","Le plus souvent moi","Le plus souvent mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint",NA,"Autant moi que mon conjoint","Autant moi que mon conjoint"
"Ouvriers","Masculin","Non","CAP, BEP ou diplôme de ce niveau","N’est pas concerné","N’est pas concerné","N’est pas concerné","Toujours ou le plus souvent quelqu’un ne faisant pas partie du ménage","Le plus souvent mon conjoint","Le plus souvent moi","Aucun diplôme","Toujours mon conjoint","Toujours mon conjoint",5,"Toujours mon conjoint","Toujours mon conjoint","Autant moi que mon conjoint","Toujours mon conjoint","Autant moi que mon conjoint","Toujours mon conjoint","Autant moi que mon conjoint","Toujours mon conjoint","Autant moi que mon conjoint","Le plus souvent moi"
"Autres personnes sans activité professionnelle","Feminin","Non","CEP (ou équivalent étranger)",NA,NA,NA,NA,NA,NA,"CAP, BEP ou diplôme de ce niveau","Toujours moi","Toujours moi",5,"Toujours moi","Toujours moi","Toujours ou le plus souvent quelqu’un ne faisant pas partie du ménage","Toujours mon conjoint","Autant moi que mon conjoint","Toujours mon conjoint","Toujours mon conjoint",NA,"Autant moi que mon conjoint","Autant moi que mon conjoint"
"Retraités","Masculin","Non","CEP (ou équivalent étranger)",NA,NA,NA,NA,NA,NA,"CEP (ou équivalent étranger)","Le plus souvent mon conjoint","Le plus souvent mon conjoint",4,"Le plus souvent mon conjoint","Le plus souvent mon conjoint","Toujours moi","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint",NA,"Autant moi que mon conjoint","Autant moi que mon conjoint"
"Cadres et professions intellectuelles supérieures","Feminin","Non","Diplôme de niveau supérieur à Bac+2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ouvriers","Feminin","Oui","CAP, BEP ou diplôme de ce niveau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Professions intermédiaires","Masculin","Non","CAP, BEP ou diplôme de ce niveau",NA,NA,NA,NA,NA,NA,"CEP (ou équivalent étranger)","Toujours mon conjoint","Toujours mon conjoint",3,"Toujours mon conjoint","Toujours mon conjoint","Toujours moi","Toujours mon conjoint","Autant moi que mon conjoint","Toujours mon conjoint","Autant moi que mon conjoint",NA,"Autant moi que mon conjoint","Autant moi que mon conjoint"
"Employés","Feminin","Non","CAP, BEP ou diplôme de ce niveau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Retraités","Feminin","Non","Brevet des collèges/BEPC (ou équivalent étranger)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ouvriers","Masculin","Non","CAP, BEP ou diplôme de ce niveau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Autres personnes sans activité professionnelle","Feminin","Non","Baccalauréat technologique/professionnel (ou équivalent)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Professions intermédiaires","Feminin","Non","Diplôme de niveau Bac+2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Employés","Masculin","Non","CAP, BEP ou diplôme de ce niveau","Autant moi que mon conjoint","Autant moi que mon conjoint","Le plus souvent moi","Autant moi que mon conjoint","Le plus souvent moi","Autant moi que mon conjoint","Diplôme de niveau supérieur à Bac+2","Toujours moi","Toujours moi",1,"Le plus souvent mon conjoint","Autant moi que mon conjoint","Toujours moi","Autant moi que mon conjoint","Toujours moi","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint"
"Retraités","Feminin","Non","Brevet des collèges/BEPC (ou équivalent étranger)",NA,NA,NA,NA,NA,NA,"CEP (ou équivalent étranger)","Toujours moi","Toujours moi",1,"Toujours moi","Toujours moi","Le plus souvent mon conjoint","Toujours moi","Autant moi que mon conjoint","Toujours moi","Autant moi que mon conjoint",NA,"Autant moi que mon conjoint","Autant moi que mon conjoint"
"Professions intermédiaires","Feminin","Non","Diplôme de niveau Bac+2",NA,NA,NA,NA,NA,NA,"CAP, BEP ou diplôme de ce niveau","Le plus souvent moi","Le plus souvent moi",4,"Toujours moi","Le plus souvent moi","Le plus souvent mon conjoint","Toujours mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint"
"Employés","Feminin","Non","CAP, BEP ou diplôme de ce niveau",NA,NA,NA,NA,NA,NA,"CAP, BEP ou diplôme de ce niveau","Le plus souvent moi","Le plus souvent moi",5,"Autant moi que mon conjoint","Le plus souvent moi","Toujours mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Le plus souvent mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint"
"Employés","Feminin","Non","Brevet des collèges/BEPC (ou équivalent étranger)","Les enfants eux-mêmes","Les enfants eux-mêmes","Toujours moi","Le plus souvent moi","Les enfants eux-mêmes","N’est pas concerné",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Retraités","Masculin","Non","Diplôme de niveau supérieur à Bac+2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Professions intermédiaires","Feminin","Non","Diplôme de niveau supérieur à Bac+2",NA,NA,NA,NA,NA,NA,"CAP, BEP ou diplôme de ce niveau","Le plus souvent moi","Le plus souvent moi",1,"Toujours moi","Toujours moi","Autant moi que mon conjoint","Le plus souvent moi","Autant moi que mon conjoint","Toujours moi","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Le plus souvent mon conjoint"
"Professions intermédiaires","Masculin","Non","Baccalauréat général (ou équivalent)",NA,NA,NA,NA,NA,NA,"CAP, BEP ou diplôme de ce niveau","Toujours mon conjoint","Autant moi que mon conjoint",1,"Toujours mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint",NA,"Autant moi que mon conjoint","Autant moi que mon conjoint"
"Professions intermédiaires","Feminin","Non","Diplôme de niveau Bac+2","Les enfants eux-mêmes","Autant moi que mon conjoint","Le plus souvent moi","Autant moi que mon conjoint","Autant moi que mon conjoint","Le plus souvent moi","Baccalauréat général (ou équivalent)","Le plus souvent moi","Autant moi que mon conjoint",1,"Toujours moi","Le plus souvent moi","Toujours mon conjoint","Toujours mon conjoint","Autant moi que mon conjoint","Toujours moi","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint"
"Retraités","Masculin","Non","CAP, BEP ou diplôme de ce niveau",NA,NA,NA,NA,NA,NA,"Diplôme de niveau supérieur à Bac+2","Le plus souvent mon conjoint","Autant moi que mon conjoint",5,"Toujours mon conjoint","Autant moi que mon conjoint","Toujours moi","Toujours moi","Toujours mon conjoint","Toujours mon conjoint","Autant moi que mon conjoint",NA,"Toujours mon conjoint","Toujours mon conjoint"
"Professions intermédiaires","Feminin","Non","Diplôme de niveau Bac+2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Employés","Feminin","Oui","Diplôme de niveau supérieur à Bac+2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Employés","Feminin","Non","Diplôme de niveau Bac+2","Toujours ou le plus souvent d’autres membres du ménage","Toujours ou le plus souvent d’autres membres du ménage","Toujours moi","Le plus souvent moi","Toujours ou le plus souvent d’autres membres du ménage","Toujours ou le plus souvent d’autres membres du ménage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cadres et professions intellectuelles supérieures","Masculin","Non","Diplôme de niveau supérieur à Bac+2","Autant moi que mon conjoint","Autant moi que mon conjoint","N’est pas concerné","N’est pas concerné","N’est pas concerné","N’est pas concerné","Diplôme de niveau supérieur à Bac+2","Autant moi que mon conjoint","Autant moi que mon conjoint",3,"Toujours ou le plus souvent quelqu’un ne faisant pas partie du ménage","Toujours ou le plus souvent quelqu’un ne faisant pas partie du ménage","Le plus souvent moi","Le plus souvent mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Le plus souvent moi","N’est pas concerné","Autant moi que mon conjoint","Le plus souvent mon conjoint"
"Employés","Feminin","Non","Baccalauréat technologique/professionnel (ou équivalent)","Le plus souvent moi","Le plus souvent moi","Autant moi que mon conjoint","Autant moi que mon conjoint","Toujours moi","Autant moi que mon conjoint","CAP, BEP ou diplôme de ce niveau","Le plus souvent moi","Le plus souvent moi",1,"Toujours moi","Le plus souvent moi","Toujours mon conjoint","Toujours moi","Toujours moi","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint"
"Professions intermédiaires","Feminin","Non","Diplôme de niveau supérieur à Bac+2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Professions intermédiaires","Feminin","Non","Diplôme de niveau supérieur à Bac+2",NA,NA,NA,NA,NA,NA,"CAP, BEP ou diplôme de ce niveau","Toujours moi","Toujours moi",1,"Toujours moi","Toujours moi","Toujours moi","Toujours moi","Toujours moi","Toujours moi","Toujours moi",NA,"Toujours moi","Autant moi que mon conjoint"
"Employés","Feminin","Non","Diplôme de niveau Bac+2",NA,NA,NA,NA,NA,NA,"CAP, BEP ou diplôme de ce niveau","Toujours mon conjoint","Autant moi que mon conjoint",5,"Toujours moi","Autant moi que mon conjoint","N’est pas concerné","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint",NA,"Autant moi que mon conjoint","Autant moi que mon conjoint"
"Retraités","Masculin","Non","CAP, BEP ou diplôme de ce niveau",NA,NA,NA,NA,NA,NA,"Aucun diplôme","Toujours mon conjoint","Toujours mon conjoint",4,"Toujours mon conjoint","Toujours mon conjoint","Toujours moi","Toujours mon conjoint","Autant moi que mon conjoint","Toujours mon conjoint","Autant moi que mon conjoint",NA,"Autant moi que mon conjoint","Autant moi que mon conjoint"
"Employés","Feminin","Non","Baccalauréat technologique/professionnel (ou équivalent)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ouvriers","Masculin","Non","Baccalauréat technologique/professionnel (ou équivalent)","Toujours mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Le plus souvent mon conjoint","CAP, BEP ou diplôme de ce niveau","Le plus souvent moi","Autant moi que mon conjoint",3,"Autant moi que mon conjoint","Le plus souvent mon conjoint","Le plus souvent moi","Le plus souvent mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Toujours mon conjoint"
"Autres personnes sans activité professionnelle","Feminin","Non","Diplôme de niveau supérieur à Bac+2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agriculteurs","Feminin","Non","Baccalauréat technologique/professionnel (ou équivalent)","Le plus souvent moi","Le plus souvent moi","Le plus souvent moi","Le plus souvent moi","Le plus souvent moi","Le plus souvent moi","CAP, BEP ou diplôme de ce niveau","Le plus souvent moi","Toujours moi",2,"Toujours moi","Toujours moi","Le plus souvent mon conjoint","Le plus souvent moi","Le plus souvent moi","Le plus souvent moi","Le plus souvent mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint"
"Ouvriers","Masculin","Non","CAP, BEP ou diplôme de ce niveau",NA,NA,NA,NA,NA,NA,"CAP, BEP ou diplôme de ce niveau","Le plus souvent mon conjoint","Le plus souvent mon conjoint",3,"Le plus souvent mon conjoint","Le plus souvent mon conjoint","Toujours moi","Toujours moi","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint",NA,"Autant moi que mon conjoint","Autant moi que mon conjoint"
"Employés","Feminin","Non","CAP, BEP ou diplôme de ce niveau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Retraités","Feminin","Non","Diplôme de niveau supérieur à Bac+2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Retraités","Masculin","Non","Baccalauréat technologique/professionnel (ou équivalent)",NA,NA,NA,NA,NA,NA,"Brevet des collèges/BEPC (ou équivalent étranger)","Le plus souvent mon conjoint","Le plus souvent mon conjoint",3,"Toujours mon conjoint","Toujours mon conjoint","Toujours moi","Le plus souvent mon conjoint","Autant moi que mon conjoint","Le plus souvent mon conjoint","Autant moi que mon conjoint",NA,"Autant moi que mon conjoint","Autant moi que mon conjoint"
